RazaoSocial,UF,Total_Despesas,Media_1º_Trimestre,Media_2º_Trimestre,Media_3º_Trimestre,Desvio_1º_Trimestre,Desvio_2º_Trimestre,Desvio_3º_Trimestre
IRMANDADE DA SANTA CASA DE MISERICORDIA DE LIMEIRA,SP,67678057.1,1394704.974,1532536.8773333333,1584628.622,2409216.65422619,2549659.7064320073,2569480.4230071073
SULMED - ASSISTÊNCIA MÉDICA LTDA,RS,66392237.589999996,1236045.328235294,1239880.3311111114,1281201.1694444444,3720687.644306378,3944268.96114515,3964708.4146449016
GARANTIA DE SAÚDE LTDA,SP,66083612.95,5478752.9575,5562479.3125,5479670.967499999,7302648.210124673,7084437.080849305,6930183.4181150105
UNIMED DE CATALÃO COOPERATIVA DE TRABALHO MÉDICO,GO,65968039.57,1097858.752631579,1406159.746875,1739243.6400000001,3308998.8861021358,4024605.5568343345,4619644.22695909
UNIMED-RIO COOPERATIVA DE TRABALHO MEDICO DO RIO DE JANEIRO,RJ,65480619.35,,65480619.35,,,,
ASSOCIAÇÃO DE SAÚDE DO VALE,SC,65168004.38,4608333.11,5082017.2924999995,6601650.692500001,5496627.426749119,5674799.153545322,7282976.520423668
UNIMED DE LINS - COOPERATIVA DE TRABALHOS MÉDICOS,SP,65098509.79,767726.3634482758,742395.6886206898,819421.9338461539,1297546.0221539352,1251844.7349015302,1460517.8050633664
ESMALE ASSISTENCIA INTERNACIONAL DE SAUDE LTDA.,AL,65030770.74,7073094.363333333,7640217.466666668,6963611.75,6218583.757916149,7013814.2466532625,5681900.944703999
UNIMED INCONFIDENTES COOPERATIVA DE TRABALHO MÉDICO LTDA.,MG,63744714.220000006,857236.7050000001,859443.4696153847,804999.1607142858,1565750.2330838202,1755141.8114574354,1687793.7451949364
UNIMED DE JABOTICABAL COOP. DE TRABALHO MÉDICO,SP,63108134.54,944920.5865,931499.1921739131,911409.6556,1635085.6897626037,1661281.9628189106,1754282.9954915063
BEST SENIOR OPERADORA DE SAÚDE LTDA,ES,62899121.26,1857302.9844444443,2138876.215,2254057.4772727275,3865964.294787288,4403775.522608124,4666485.290716789
CENTRAL REGIONAL DAS COOPERATIVAS MÉDICAS - UNIMED CERRADO,GO,62847389.019999996,1309582.8852941175,1197911.2147058826,1189411.136470588,3405383.613040642,2994537.155772406,2937833.1914722654
PLAMED PLANO DE ASSISTENCIA MEDICA LTDA,SE,62363206.25,6476422.423333333,6649982.166666667,7661330.826666665,6207535.947863104,6146737.427799717,7204395.991946067
UNIMED MONTES CLAROS COOPERATIVA DE  TRABALHO MÉDICO LTDA.,MG,62339020.18,951216.025,909072.4095652173,1025180.1105000001,1770364.0629553425,1718934.2860301647,1760386.1533558485
UNIMED COSTA DO DESCOBRIMENTO COOPERATIVA DE TRABALHO MÉDICO,BA,61914546.61,1210042.15625,1234689.053125,1085659.3933333333,2241662.9184088623,2260765.2409296934,2264969.972082087
PLADISA PLANOS DE SAÚDE SA,SC,61868393.72,1847956.1972727275,1405739.99,1561465.4064285716,4234528.649561296,3873721.815917788,4277984.283698517
UNIMED EXTREMO OESTE CATARINENSE COOPERATIVA DE TRABALHO MÉDICO,SC,61851169.35,548463.1429268293,505935.55794871796,478846.18853658537,1313491.915421284,1082577.8637335745,1119046.93596429
UNIMED BARRA DO GARÇAS - COOPERATIVA DE TRABALHO MÉDICO,MT,61658351.370000005,539464.51,556899.9797297297,527010.2753846154,1036935.8693527129,1100394.6925430463,1077847.8497968537
UNIMED CENTRO SUL FLUMINENSE COOPERATIVA DE TRABALHO MÉDICO,RJ,61491018.800000004,904034.6485714286,947708.3081818182,1031271.8285714285,1695216.4271668224,1817946.1678775882,1860131.5347432408
FUNDACAO LEONOR DE BARROS CAMARGO,SP,60791389.5,3043799.216666667,3231596.3833333333,4627803.180000001,4072881.1876726616,4480557.012907619,5557241.671583039
UNIMED VALE DO AÇO COOPERATIVA DE TRABALHO MÉDICO,MG,60286738.0,1176911.7486363635,1186023.4320689656,,2263360.4812904103,2284889.8193339747,
UNIMED PATO BRANCO SOCIEDADE COOPERATIVA DE MÉDICOS,PR,60238317.04,494672.7805128205,523987.6848717949,539751.5497368422,831610.857910835,860110.0216505165,838220.3668115673
PRONTOMED PLANOS DE SAÚDE LTDA,MG,60049223.53,1220672.49,1335837.9966666666,1356347.889375,3192466.7755082464,3576998.856317504,3873904.6845957544
MATÃO CLINICAS & AMHMA SAÚDE LTDA,SP,59897115.339999996,1402379.684285714,1326687.5746666668,1357565.7426666664,3110160.8292364827,2322194.097884799,2464065.546016778
GOCARE PLANOS DE SAUDE LTDA,SP,59807608.58,1409686.59375,1243766.910625,1334796.3469230768,2194038.5180694154,2604005.389956359,2938176.9336192794
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE,SP,59721819.32,1520367.01,1573516.3876923078,1617054.0123076923,3049908.666402211,3353350.3796501216,3447257.1502581886
ASSOCIAÇÃO DE SAÚDE DOS FORNECEDORES DE CANA DE PIRACICABA E REGIÃO,SP,59564585.440000005,2533491.487142857,2912682.0014285715,3063053.0028571426,3427977.979691111,3999798.547250048,3920978.298045596
ASSOCIAÇÃO DE ASSISTÊNCIA MÉDICO HOSPITALAR DOS MAGISTRADOS DO ESTADO DO PARANÁ,PR,59354092.38,3268862.878,3986440.464,4615515.134000001,2831227.1262839492,3340734.4160527196,4060644.9942960124
UNIMED CENTRO PAULISTA - FEDERAÇÃO INTRAFEDERATIVA DAS COOPERATIVAS MÉDICAS,SP,59303582.0,3176448.4166666665,3291371.7866666666,3416110.130000001,4859873.110397627,5007266.766930601,5237533.074484979
UNIMED PATROCÍNIO COOPERATIVA DE TRABALHO MÉDICO LTDA.,MG,59023968.49,913710.9055,1073474.9983333333,1127747.39,1467943.5354641948,1710260.138704048,1760290.4316665246
SUL AMÉRICA ODONTOLÓGICO S/A,SP,58557170.089999996,2303692.26125,2488042.3524999996,2247032.5755555555,2715230.996736433,2993729.350492471,2991347.6657215883
CAIXA ASSISTENCIAL UNIVERSITÁRIA DO RIO GRANDE DO NORTE,RN,58111923.96000001,3642721.6560000004,3893363.66,4086299.476000001,5116708.86290435,5504206.575644603,5944331.870012793
UNIMED OESTE DO PARANA - COOPERATIVA DE TRABALHO MEDICO,PR,58047431.65,398721.81590909086,404877.30638297874,456902.94361702126,1000728.9348980454,1026324.0501172284,1227527.725731309
UNIMED NORTE PIONEIRO - COOPERATIVA DE TRABALHO MÉDICO,PR,57432060.96,725059.4466666667,850985.0843478262,889477.2739130433,1496552.6699838145,1746401.5200992953,1804632.302317665
SÃO DOMINGOS SAÚDE- ASSISTÊNCIA MÉDICA  LTDA,SP,56625918.39,1526700.229090909,1711069.662,2524613.25,2829927.1700762482,3007120.7242271043,3613641.6582310935
ASSOCIAÇÃO MINEIRA DE ASSISTÊNCIA À SAÚDE DOS MEMBROS DO MINISTÉRIO PÚBLICO,MG,56110761.89,8430740.75,9381739.270000001,6828600.616666667,9115735.121622998,10168269.604111088,10156244.308333399
AMEPLAN ASSISTÊNCIA MÉDICA PLANEJADA LTDA,SP,55935141.919999994,2150893.6155555556,2029073.4777777775,2035048.6755555554,3699780.7248675134,3233745.8592004357,3357744.927891999
SANTA CASA DE MISERICORDIA DE SAO JOAQUIM DA BARRA,SP,55792791.449999996,920320.5344444443,1092717.231111111,1029374.2984210528,1562079.1393614109,1758855.087006597,1815234.0463458588
UNIMED REGIONAL SUL GOIAS COOP. DE TRABALHO MÉDICO LTDA,GO,55741046.82,960202.7422222222,1001113.7183333333,1135408.362777778,1937791.2994002397,2044424.0263889818,2252565.15322375
UNIMED SUL PAULISTA - COOPERATIVA DE TRABALHO MÉDICO,SP,55712941.65,953967.8915789474,1140756.6664705884,1010816.021111111,1768862.4134182888,1841232.6436133117,1606557.609666839
CAIXA DE ASSISTÊNCIA À SAÚDE DO SINDICATO DOS FUNCIONÁRIOS INTEGRANTES DO GRUPO OCUPACIONAL ADMINISTRAÇÃO TRIBUTÁRIA DO ESTADO DE PERNAMBUCO,PE,55610356.89000001,2075240.3325,2332913.5100000002,2543140.7687500003,4975164.681191934,5688701.1097077355,6183218.454365529
UNIMED TEOFILO OTONI COOPERATIVA DE TRABALHO MÉDICO,MG,54802968.93,2552097.411428571,2765282.8742857142,1598300.63,3008988.1916853413,2792516.5363427387,2311997.4876120593
CAIXA DE ASSISTÊNCIA À SAUDE DOS EMPREGADOS DA CODEVASF - CASEC,DF,54667995.23,7068379.55,5430646.606666666,5723638.919999999,12106888.361097857,9204663.434022907,9696190.875684679
UNIMED JOÃO MONLEVADE COOPERATIVA DE TRABALHO MÉDICO LTDA.,MG,54248437.36,672857.4195833333,745510.04,808304.7331999999,1796373.3707588213,1912264.1590378399,2231113.677901507
ASSOCIAÇÃO DO PLANO DE SAÚDE DA SANTA CASA DE MISERICÓRDIA DE ITABUNA - PLANSUL,BA,53073578.47,1096063.263125,1008959.2105882352,1081427.04,1661051.0287235023,1595874.9348157784,1713938.5892408662
SISTEMAS E PLANOS DE SAÚDE LTDA.,SP,52839553.47,5796400.31,5439862.95,3826152.738000001,8999479.01284773,8465236.921972312,7327289.484119532
HOSPITAIS E CLÍNICAS DO PIAUÍ S/S LTDA,PI,52724614.06,1837444.33,1903609.5544444444,2117236.566666667,2803052.309193431,2795749.095693211,3176187.280604217
AMHA SAUDE S/A,SP,52536081.96,1976006.1577777779,1654065.596,1821137.0579999997,3825323.907861757,3661204.00987976,4204349.06306028
ASSOCIAÇÃO SAÚDE SÃO JOSÉ,SC,52070921.49,800993.3031578948,876025.5859999999,1073974.2783333333,2208170.0809045974,2542833.1524146358,2849354.431875873
UNIMED ERECHIM - COOPERATIVA DE SERVIÇOS DE SAÚDE LTDA.,RS,51819754.67,506190.33176470594,605949.9168965517,567891.1933333334,965210.4920010034,1009356.77748641,992613.4017149567
ASSOCIAÇÃO MAIS SAÚDE SANTA CASA DE SÃO JOÃO DA BOA VISTA,SP,51555853.34,2399924.485,2706394.49,3486323.2483333335,3281028.9584306953,3856511.8653701576,4990011.212051683
UNIMED NOROESTE DO PARANÁ COOP DE TRABALHO MÉDICO .,PR,51503259.62,496956.92812500003,527593.5296875,603794.9990322582,1309661.1789394596,1325315.0263185892,1453542.7777981015
VITA ASSISTÊNCIA A SAÚDE LTDA.,MG,51158569.980000004,364946.76272727276,1497766.561764706,1141164.4231578948,474074.2649467542,2535085.0623089033,2442707.4903574088
SÃO FRANCISCO ASSISTÊNCIA MÉDICA LTDA,PE,49728044.800000004,2561217.2816666667,2901375.861666667,2825414.3233333337,2713724.1617931146,2776448.6552595706,3213700.1685874667
UNIMED ITAÚNA COOPERATIVA DE TRABALHO MÉDICO LTDA.,MG,49463486.12,465875.6436111111,424887.0361538462,435712.66324324324,1476077.5109142456,1436944.0132348414,1377850.3199240554
UNIMED ALTA MOGIANA COOPERATIVA DE TRABALHO MÉDICO,SP,49113030.83,637189.7554166667,650889.9936,701929.0743999999,1041408.4755207571,1056823.2320068253,1112709.7281815093
UNIMED SETE LAGOAS COOPERATIVA TRABALHO MÉDICO,MG,49073494.690000005,1058076.4322727274,1172536.9627272727,,1587783.5490742307,1777321.4385286162,
UNIMED ITABIRA COOPERATIVA DE TRABALHO MÉDICO,MG,48952922.03,2261341.1257142858,2264173.5085714287,2467759.9414285715,2366012.1676033014,2605791.7881528554,2806747.2092576195
UNIMED OS BANDEIRANTES COOPERATIVA DE TRABALHO MÉDICO,SP,48851831.84,558004.208,619250.6493333334,466696.07310344826,1468251.3847377743,1774893.0250668782,1389879.8030277179
UNIMED APUCARANA COOPERATIVA DE TRABALHO MÉDICO,PR,48312687.86,1336011.0436363637,1465059.8518181818,1166727.2006666667,2105838.391977777,2418876.6241103485,2115554.2908018623
UNIMED DE MANAUS COOP. DO TRABALHO MÉDICO LTDA,AM,47897155.44,1005174.8127272726,1240239.0022222223,2853120.1644444447,2247383.0336783985,2587441.8748326413,5596260.40668973
DENTAL UNI - COOPERATIVA ODONTOLÓGICA,PR,47584246.67,2505360.065,2512793.3316666665,2912554.3816666673,2626155.894672731,2762068.0883351825,3511129.7710545934
UNIMED FRONTEIRA NOROESTE/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.,RS,47509083.19,370144.51225,406311.7646153847,455598.4832432432,1206188.1169091302,1264751.954317813,1375445.0253324597
CAIXA DE ASSISTÊNCIA SISTEMA SAÚDE INTEGRAL-SSI SAUDE,RS,47421015.260000005,6637440.635,8284153.115,8788913.88,6333629.126685574,8635119.047725748,9507920.442678263
CAIXA DE ASSISTÊNCIA DOS FUNCIONÁRIOS DO BANCO DA AMAZÔNIA - CASF,PA,46969420.9,1513520.7258333333,1745580.0627272725,873253.7727272727,3377387.846253793,3560167.6727830106,2021149.0268931175
AMAZÔNIA PLANOS DE SAÚDE LTDA,PA,46776460.37,2953271.8380000005,2859677.7539999997,3542342.482,4919983.080733033,4760962.419804423,5985014.785555566
UNIMED SÃO JOÃO DEL REI - COOPERATIVA DE TRABALHO MÉDICO,MG,46725605.86,485243.64300000004,528556.6986666668,543719.8536666667,1086573.6391329067,1112624.6962263817,1225324.413670472
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE BAURU,SP,46665801.6,4752146.513333333,5529341.046666666,5273779.640000001,7389960.123173853,8618546.127384918,8191079.0136642745
SAMOC S.A. - SOCIEDADE ASSISTENCIAL MÉDICA E ODONTO CIRÚRGICA,RJ,46548644.87,1642083.051111111,1707557.5933333333,1822431.0077777777,3011514.6570962947,2814558.5616757446,3028901.908579843
ÚNICA ASSISTENCIA MEDICA LTDA ,SP,46544741.67,6866545.399999999,8012471.290000001,8393354.145,9287005.604698807,11270123.172383476,11675602.164564654
IRMANDADE DE MISERICÓRDIA DO HOSPITAL DA SANTA CASA DE MONTE ALTO,SP,46203494.93,1324227.3045454544,1331065.8981818182,1545024.5181818185,1812419.7598666619,1927604.0625501655,2581178.3423432116
UNIMED BARBACENA - COOPERATIVA DE TRABALHO MÉDICO LTDA,MG,46021395.99,812393.2635294117,970816.6823529413,506671.8358064516,1787009.099809449,2016188.930520771,1480752.1514548515
CAIXA DE ASSISTÊNCIA AOS MEMBROS DA DEFENSORIA PÚBLICA DO ESTADO DO RIO DE JANEIRO,RJ,45962005.3,2710870.568,3385176.3800000004,3773389.3879999993,3326701.3554687905,2491080.7411288316,3350645.376409843
UNIMED DE TATUI - COOPERATIVA DE TRABALHO MÉDICO,SP,45510173.1,475937.1865625,475679.17060606065,486092.35,913950.7248577718,866265.6344858691,911310.7433562565
ASSOCIAÇÃO SÃO LUIZ SAÚDE,SP,45293775.54,1625086.677,1392192.176,1512098.701,3383925.6814096896,2806239.845918345,3062217.21651618
UNIMED SÃO LOURENÇO COOPERATIVA DE TRABALHO MÉDICO,MG,45183850.11,364265.8819512195,341347.34285714285,418746.3302631579,837987.0909875348,761237.0948029623,888385.0437635008
INSTITUIÇÃO BENEFICENTE CEL MASSOT - IBCM,RS,45135429.0,1825138.8042857144,2283437.648333333,2665547.3542857147,2539216.3336084066,3284288.837556469,4403444.8720393535
ASSOCIAÇÃO FUNDO DE PROTEÇÃO À SAÚDE,PR,44610837.08,2310339.6033333335,2477607.228333333,2647192.6816666666,3602832.874169992,4035381.086868384,4423996.740079025
"UNIMED VALE DAS ANTAS, RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.",RS,44482676.59,678455.6175,646260.4586363636,665810.08,1910551.8584284089,1637647.6441908246,1547790.4016523666
IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE PASSOS,MG,44420283.94,884276.7962499999,1041494.8635714286,825838.2689473685,1306398.2728228152,1505352.566364634,1470494.5627698777
PLANO DE SAUDE ASES LTDA.,RJ,43707985.98,1015748.5564285713,1094565.223076923,1173704.4838461538,1937490.8464468513,1964382.448766489,2128666.655362685
UNIMED TRÊS RIOS COOPERATIVA DE TRABALHO MÉDICO,RJ,43054501.38,645256.2890909092,642077.4199999999,668488.5739130436,1396285.5469309306,1350771.3787972163,1555785.5863287302
UNIMED NORTE DO PARANÁ COOPERATIVA REGIONAL DE TRABALHO MÉDICO,PR,42646462.16,410624.85029411764,464665.4767857143,580540.1444444444,748268.1552463486,740463.9241403656,813837.3461335022
UNIMED LAVRAS COOPERATIVA DE TRABALHO MÉDICO,MG,42154554.160000004,305448.7309090909,365465.971,293670.23250000004,1324928.2175976036,1537653.1943300234,1345598.1005165437
COOPERATIVA DE TRABALHO MEDICO DE ARAGUAÍNA - UNIMED ARAGUAÍNA,TO,41520136.23,219144.82836065572,225614.74852459016,256960.7507142857,623103.1837533939,609620.5286559296,676720.6529354994
ANAFE SAUDE,GO,41482857.20999999,2296725.675,2013092.8816666666,2603990.978333333,5053581.670059421,4379859.356046721,5749666.493542312
UNITY SERVIÇOS INTEGRADOS DE SAÚDE LTDA.,DF,41378086.13,1772984.4000000001,1516150.5125,2067886.181111111,3110712.491963548,2847548.740798,4054098.9777535605
LEADER ASSISTÊNCIA MÉDICA E HOSPITALAR LTDA.,SP,40998275.54,15441334.45,13513343.34,12043597.75,,,
UNIMED MURIAÉ COOPERATIVA DE TRABALHO MEDICO LTDA,MG,40599226.3,1127367.5481818183,1290335.122,1390439.277272727,3168957.0418154243,3445121.6358535807,4033168.4055164317
UNIMED INTRAFEDERATIVA FEDERAÇÃO REGIONAL SUL DE MINAS,MG,40580020.45999999,4172022.7433333327,4365608.69,4989042.053333333,6967491.213403871,7267374.384048731,8305436.479235738
UNIMED DE PIRASSUNUNGA COOPERATIVA DE TRABALHO MÉDICO,SP,40555221.65,623675.6927777777,824796.6211111111,851924.7058823529,1006067.0610411452,1291613.3813804816,1101342.6671824655
UNIMED COSTA VERDE RJ,RJ,40279460.7,1477690.31,1234146.359,1316109.401,1791156.4524151515,1304550.5184111556,1292837.5293686837
CONFERÊNCIA SÃO JOSÉ DO AVAÍ,RJ,40184589.63,1166628.7766666666,1590737.1544444445,1707588.472222222,1425952.860994277,1856141.2363401428,2087510.9349386825
MAIS SAÚDE PLANO DE SAÚDE LTDA,GO,39950266.879999995,5745731.82,6668503.734999999,7560897.885,1320469.998086003,1696747.3893924882,1140140.4942647703
ASSOCIAÇÃO DOS AUDITORES FISCAIS DO ESTADO DA PARAÍBA - AFRAFEP,PB,39806325.08,6397410.275,6585728.419999999,6920023.845000002,9000791.357594017,9205898.250723552,9738013.68931208
ASSOCIAÇÃO DOS FUNCIONÁRIOS DO FISCO DO ESTADO DE GOIÁS,GO,39589571.75,3845707.9499999997,4952933.58,3298411.7899999996,5828411.818458046,7454495.902801752,5784344.335097453
SAÚDE BRASIL ASSISTÊNCIA MÉDICA LTDA.,SP,39000790.95,2449123.782,3248982.4524999997,2751848.446,2705517.7375706783,2169186.2735019694,2387954.9130925387
UNIMED SUDOESTE DE MINAS COOPERATIVA DE TRABALHO MÉDICO,MG,38758542.57,901012.9516666667,673481.4831578947,757511.9485,1816849.4613532946,1702404.921758536,1818373.3094028782
GS PLANO GLOBAL DE SAÚDE LTDA,RJ,38611343.02,1054841.2736363637,1117283.4036363638,1337997.4154545455,1699145.0018057774,1820434.411925803,2343427.1369346837
SANTA CASA DE MISERICÓRDIA DE VOTUPORANGA,SP,38460489.78,1207951.359,1288089.041,1350008.578,1700553.7726144425,1965960.8347183554,2021229.7759817266
INTERMEDICI PIRACICABA ASSISTENCIA MEDICA LTDA,SP,37383348.14,836482.1838461539,995028.5491666667,1120672.0892307693,1571616.9046160206,1710653.2462479516,2251346.9079840793
IRMANDADE DE MISERICORDIA DE PORTO FERREIRA,SP,37140351.71,3664070.34,4147692.48,4568354.416666666,5792161.483786518,6489730.006558022,7229580.710435038
OPERADORA DE PLANOS PRIVADOS DE SAÚDE - SANTA CASA SAÚDE LTDA,MS,36878778.84,1428780.92125,1274793.83,907185.2264285714,2571943.9431784158,2495585.2899097363,2014016.2849345866
UNIMED DE ANDRADINA - COOPERATIVA DE TRABALHO MÉDICO,SP,36877609.55,371328.1560714286,412625.6503125,474157.1560714286,569992.0412748953,619674.6926419275,659046.4575382491
UNIMED ALTO DA SERRA - SOCIEDADE COOPERATIVA DE SERVIÇO MÉDICO LTDA.,RS,36246396.94,689591.904117647,553775.7080952382,614002.1285714286,1140798.551445068,959627.4680381229,1109432.4602982504
UNIMED DE SOBRAL SOCIEDADE COOPERATIVA MÉDICA LTDA,CE,35761042.480000004,956578.9550000001,934374.7315384615,1011268.6258333335,1270677.5463388083,1293868.207049624,1319156.0712634576
CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANEB,BA,35534654.8,2282148.01,2815464.0875000004,3215514.5999999996,3225915.996723308,3233213.521875617,3706512.398313948
MÚTUA DOS MAGISTRADOS DO ESTADO DO RIO DE JANEIRO,RJ,35525023.77,5187794.305000001,5939191.794999999,6635525.785000001,5317212.93733158,5886655.050903631,5335693.710459043
COOPERATIVA DE TRABALHO MÉDICO DO PLANALTO NORTE DE SANTA CATARINA LTDA,SC,35281822.64,250101.4289361702,233141.59645833334,257005.3927083333,446486.3196685543,395667.1128575737,468590.70299470314
UNIMED DE AVARÉ COOPERATIVA DE TRABALHO MÉDICO,SP,34732544.05,358204.93147058826,322193.94828571426,322193.94828571426,641466.6236991874,547361.160221367,547361.160221367
UNIMED VALE DO JAURU COOPERATIVA DE TRABALHO MÉDICO,MT,34719365.92,789863.4506666666,715014.559375,762078.7473333334,1836568.155376895,1574244.3801610693,1759448.1802324671
UNIMED MARQUES DE VALENÇA COOPERATIVA DE TRABALHO MÉDICO LTDA.,RJ,34700189.45,732422.1849999999,968858.1138461538,911624.8753846155,844959.1510490574,981772.3395455717,957986.1051270314
UNIMED DE BIRIGUI - COOPERATIVA DE TRABALHO MÉDICO,SP,34586003.82,455388.2370833333,259516.71707317073,361569.46472222224,965950.2511297243,759299.0161087264,1025679.1508878735
ASSOCIAÇÃO DO FISCO DE ALAGOAS,AL,34574930.68,3470447.81,3772657.033333333,4281872.05,4759018.067008821,5468070.7013109885,5408576.197685112
UNIMED GURUPI COOPERATIVA DE TRABALHO MÉDICO,TO,34550264.31,290241.32948717946,291835.84375,296344.0694871795,559411.3925151911,520547.8734126794,559665.2011421998
FUNDAÇÃO FILANTRÓPICA E BENEFICENTE DE SAÚDE ARNALDO GAVAZZA FILHO,MG,34172182.04,546100.8884210526,689331.2947058823,635664.9026315791,1102573.0847752937,1295248.3911050728,1297189.0469528663
PLANO ODONTOLÓGICO DENTALVIDAS LTDA.,SP,33874010.26,2408305.54,2956123.5650000004,3104073.459999999,4800882.767001759,5887739.26325244,6184105.644468654
UNIMED ARAGUARI COOPERATIVA DE TRABALHO MÉDICO ,MG,33658224.53,521247.5727272727,475210.8350000001,551589.6186956522,1098452.1191172635,1007145.5992271389,1255893.3487395593
UNIMED ITUIUTABA COOPERATIVA TRABALHO MÉDICO LTDA.,MG,33157269.45,368134.14096774196,302473.01972222223,339252.5740625,924136.6128668644,921177.4372707545,825155.4006540347
UNIMED CAÇADOR COOPERATIVA DE TRABALHO MÉDICO DA REGIÃO DO CONTESTADO,SC,32717591.97,473081.6271428571,537426.585,547015.7318181819,756347.4381024594,775754.7443623289,900536.7142127013
UNIMED GUAXUPÉ COOPERATIVA DE TRABALHO MEDICO,MG,32708773.76,310829.43424242426,305370.09147058823,365721.7975757576,614759.3235397747,537001.8304919002,751287.2241723306
BRASILDENTAL OPERADORA DE PLANOS ODONTOLÓGICOS S.A.,SP,32478009.38,3368236.303333333,3625430.9233333333,3832335.9,3502315.439510714,3652983.3556377115,3806446.6735899993
UNIMED DE CAPIVARI -COOPERATIVA DE TRABALHO MÉDICO,SP,32441834.56,255561.56975609754,262175.4448780488,254877.6581818182,678883.6936441368,719259.3461364134,742386.7799567565
UNIMED DE TAUBATÉ COOPERATIVA DE TRABALHO MÉDICO,SP,31957459.16,598887.1147058823,535427.783,553391.1275,1414772.0935564046,1159928.3066610596,1319084.6509782083
POLI SAUDE OPERADORA DE PLANO DE SAUDE LTDA,PR,31580310.35,775714.2366666667,994483.5572727274,944368.3650000001,1453497.4842080865,1727821.200766154,1755873.2998228967
FUNDAÇÃO DE ASSISTÊNCIA À SAÚDE DA ASSOCIAÇÃO DO MINISTÉRIO PÚBLICO DO RIO GRANDE DO SUL,RS,31206343.34,4223885.06,5159596.275,6219690.335,3927965.7385540577,4984722.362703678,5503055.943644554
UNIODONTO DE SÃO JOSÉ DOS CAMPOS COOPERATIVA DE TRABALHO ODONTOLÓGICO,SP,31075101.57,2336033.4325,2601320.975,2831420.9850000003,1104165.0344368822,1189004.804219112,1285913.3623969571
UNIODONTO DE CAMPINAS COOPERATIVA ODONTOLÓGICA,SP,30932642.89,1086248.3166666667,1151723.6866666665,1198988.3177777778,996580.2861502972,1131108.9503123157,1225762.2423187187
UNIMED TRÊS CORAÇÕES COOPERATIVA DE TRABALHO MÉDICO LTDA.,MG,30291807.97,366298.87923076923,368848.2488888889,400338.31074074074,697034.2518305541,710439.2747983524,805737.1122362505
AMEP FREGUESIA OPERADORA DE PLANO DE SAUDE LTDA,RJ,29662676.64,1102932.5799999998,1069357.98,1123562.4000000001,2780665.5316857025,2658789.668071257,2838758.1980098644
PREVIDENT ASSISTÊNCIA ODONTOLÓGICA S.A,SP,28732919.4,1863739.868,1981546.6820000005,1901297.3299999996,1986456.8504395816,2112023.082028437,1969360.614778141
SF SISTEMAS DE SAÚDE LTDA,SP,28696619.58,1774638.1475,2519797.7150000003,2879719.0324999997,2186497.930695959,3104574.369830902,3295462.307341995
UNIMED DE SAO JOSÉ DO RIO PARDO-COOP. DE TRAB. MÉDICO,SP,28515735.82,709418.8875000001,818518.4091666667,848374.0216666666,918694.0399987928,1107206.2627997063,1112704.0444518833
UNIMED DE GUARATINGUETA-COOPERATIVA DE TRABALHO MÉDICO,SP,28403807.98,1050023.2011111109,842301.6816666666,737164.9158333334,1595168.0540930883,1629195.6820076022,1187498.2448154748
ASSOCIAÇÃO PARANAENSE DE ASSISTÊNCIA À SAUDE DOS MEMBROS DO MINISTERIO PUBLICO DO PARANÁ,PR,28202214.68,2349846.61,2237698.9299999997,2463008.1300000004,3442133.882102191,3002007.0636079116,3376574.729392088
TERRAMAR ADMINISTRADORA DE PLANO DE SAUDE LTDA,BA,28182210.77,4076419.595,4628632.1,5386053.69,4441299.119957792,5853688.834739104,6227678.96895369
UNIMED ALTO SÃO FRANCISCO COOPERATIVA DE TRABALHO MÉDICO,MG,27574942.740000002,290290.3444827586,329498.0348275862,342895.7050000001,840098.9980841839,975005.9128214765,914627.2769905822
UNIMED PONTAL DO TRIÂNGULO - COOPERATIVA DE TRABALHO MÉDICO,MG,27315848.54,339416.1337037037,329125.74,399764.32041666674,853811.9952994214,861686.9642034885,1021890.2336913208
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE RIBEIRÃO PRETO (APAS),SP,26910994.07,2961004.183333333,2774853.7533333334,3234473.4199999995,4540004.185229301,4166338.3252733666,4911314.402100577
CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANESE,SE,26848253.220000003,2970953.83,2824751.733333334,3153712.1766666663,4997734.538533071,4744117.862648759,5298849.715944604
UNIMED REGIÃO DA PRODUÇÃO/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA,RS,26800884.91,321451.7504,440454.41,380601.94159999996,687714.270408841,802596.9073520079,811771.9410349499
UNIMED NOROESTE DE MINAS COOPERATIVA DE TRABALHO MEDICO LTDA,MG,26606271.84,463197.26066666667,448445.65105263155,742523.0373333334,938329.0582628939,900086.1916942224,1378234.4279556635
UNIMED FRUTAL COOPERATIVA DE TRABALHO MEDICO LTDA,MG,26568687.01,181747.33698113207,164712.38519230767,155019.15037037036,485022.0083312422,417218.26603865257,405047.8405174113
